,VISIT_AREA_NM,VISIT_AREA_TYPE_CD
573,부천활박물관,2
574,부평4동성당,2
575,부평역사박물관,2
576,부평풍물대축제,8
577,북서울꿈의숲,7
578,북수원온천,6
579,북악산 청운대쉼터분기점,1
580,북악스카이웨이,1
581,북악팔각정,1
582,"북촌로,북촌한옥마을",7
583,북촌마을서재,2
584,북촌주민사랑방,13
585,북촌한옥마을,7
586,북한강,13
587,북한강 포시즌 수상레저,5
588,북한강철교초소쉼터,7
589,북한산,7
590,북한산국립공원,7
591,북한산국립공원 북한산성탐방지원센터,1
592,북한산국립공원 사패산코스,1
593,북한산국립공원 회룡탐방지원센터,1
594,북한산둘레길 1구간소나무숲길,7
595,북한산둘레길 2구간순례길,7
596,북한산둘레길 마실길9구간,7
597,분당중앙공원,1
598,분당중앙공원 잔디광장,1
599,불암산,1
600,브릭캠퍼스 강릉,6
601,블루스톤스포츠 (찜질방),6
602,비둘기낭폭포,1
603,비밀의화원 건대 포레스트점,13
604,비봉산전망대,1
605,비스타워커힐 서울,6
606,비욘더팜,13
607,비트포비아 던전101,13
608,뽀로로파크 일산킨텍스점,6
609,쁘띠속눈썹,13
610,쁘띠프랑스,6
611,사과깡패,13
612,사우스스프링스CC,5
613,사육신역사공원,1
614,사직단,2
615,산낙지갯마을,7
616,산들소리,1
617,산들소리수목원,1
618,산머루농원,13
619,산정랜드,1
620,산정호수,1
621,산정호수 명성산억새꽃축제,8
622,산정호수둘레길,7
623,산정호수조각공원,1
624,산정호수폭포,1
625,산책길,7
626,"산천동부군당, 용산성당",2
627,삼덕공원,1
628,삼성산성지,2
629,삼성화재교통박물관,2
630,삼송역 3호선,7
631,삼악산,1
632,삼청동길,7
633,상동호수공원,1
634,상동호수공원 분수광장,1
635,상상의문 분당서현점,6
636,상수나들목,1
637,상촌재,2
638,새말어린이공원,13
639,새벽다리,7
640,샘마루공원,1
641,샛강다리,1
642,생명의나무전망대,1
643,생명의나무전망대+빨간등대,1
644,생선굽는마을,7
645,생태숲 꽃사슴 방사장,13
646,생태화공원,1
647,샤갈의눈내리는마을,7
648,샤론농장,13
649,서달산,1
650,서대문 독립문(공방체험),13
651,서대문 자연사박물관,2
